size,density,method,time
256,0.5,torch_matmul,1.0859593749046325e-05
256,0.5,torch_spmm,0.0001261269673705101
256,0.5,ge_spmm,6.098107745250066e-05
256,0.25,torch_matmul,1.0810730357964833e-05
256,0.25,torch_spmm,7.803967843453089e-05
256,0.25,ge_spmm,7.726047188043595e-05
256,0.125,torch_matmul,1.1159013956785202e-05
256,0.125,torch_spmm,8.688221375147502e-05
256,0.125,ge_spmm,4.788332929213842e-05
256,0.0625,torch_matmul,1.090972994764646e-05
256,0.0625,torch_spmm,6.942044322689374e-05
256,0.0625,ge_spmm,4.860619083046913e-05
256,0.03125,torch_matmul,1.0798778384923935e-05
256,0.03125,torch_spmm,8.354547123114268e-05
256,0.03125,ge_spmm,5.8762294550736745e-05
256,0.015625,torch_matmul,1.0498395810524623e-05
256,0.015625,torch_spmm,6.955340504646301e-05
256,0.015625,ge_spmm,4.970300942659378e-05
256,0.0078125,torch_matmul,8.22724774479866e-05
256,0.0078125,torch_spmm,0.0001814179743329684
256,0.0078125,ge_spmm,0.00014500500013430912
256,0.00390625,torch_matmul,1.075034961104393e-05
256,0.00390625,torch_spmm,8.67124026020368e-05
256,0.00390625,ge_spmm,5.984439825018247e-05
512,1.0,torch_matmul,5.032634362578392e-05
512,1.0,torch_spmm,0.0015559130969146886
512,1.0,ge_spmm,0.0013180186040699482
512,0.5,torch_matmul,5.25535394748052e-05
512,0.5,torch_spmm,0.000766848245014747
512,0.5,ge_spmm,0.0002687799744307995
512,0.25,torch_matmul,4.694461822509766e-05
512,0.25,torch_spmm,0.0003956267299751441
512,0.25,ge_spmm,0.0001346212811768055
512,0.125,torch_matmul,4.681044568618139e-05
512,0.125,torch_spmm,0.00021996023133397102
512,0.125,ge_spmm,7.228326673309008e-05
512,0.0625,torch_matmul,4.682649547855059e-05
512,0.0625,torch_spmm,0.00028265221044421196
512,0.0625,ge_spmm,0.00012703190247217815
512,0.03125,torch_matmul,5.349898710846901e-05
512,0.03125,torch_spmm,0.00010212219009796779
512,0.03125,ge_spmm,5.914224311709404e-05
512,0.015625,torch_matmul,5.258790527780851e-05
512,0.015625,torch_spmm,8.644815534353256e-05
512,0.015625,ge_spmm,5.8355989555517836e-05
512,0.0078125,torch_matmul,5.2980426698923114e-05
512,0.0078125,torch_spmm,7.081857571999232e-05
512,0.0078125,ge_spmm,4.907244195540746e-05
512,0.00390625,torch_matmul,5.2784414341052376e-05
512,0.00390625,torch_spmm,6.950957079728444e-05
512,0.00390625,ge_spmm,5.912144357959429e-05
1024,1.0,torch_matmul,0.00024571968242526054
1024,1.0,torch_spmm,0.021570883318781854
1024,1.0,ge_spmm,0.004494360896448294
1024,0.5,torch_matmul,0.00021567192549506824
1024,0.5,torch_spmm,0.009978038910776376
1024,0.5,ge_spmm,0.003933416803677877
1024,0.25,torch_matmul,0.00023168784876664478
1024,0.25,torch_spmm,0.004544204877068599
1024,0.25,ge_spmm,0.0020308122349282105
1024,0.125,torch_matmul,0.00021646395325660705
1024,0.125,torch_spmm,0.0015485708912213643
1024,0.125,ge_spmm,0.0004968928794066111
1024,0.0625,torch_matmul,0.0023629742364088694
1024,0.0625,torch_spmm,0.0008917659831543764
1024,0.0625,ge_spmm,0.0002571748880048593
1024,0.03125,torch_matmul,0.00023143691942095757
1024,0.03125,torch_spmm,0.0005096876993775368
1024,0.03125,ge_spmm,0.00013180443396170933
1024,0.015625,torch_matmul,0.00023082802072167398
1024,0.015625,torch_spmm,0.0003282684211929639
1024,0.015625,ge_spmm,7.081677516301473e-05
1024,0.0078125,torch_matmul,0.00023071179166436195
1024,0.0078125,torch_spmm,0.00023885856692989666
1024,0.0078125,ge_spmm,6.022369489073753e-05
1024,0.00390625,torch_matmul,0.00022834120318293571
1024,0.00390625,torch_spmm,0.0002805458071331183
1024,0.00390625,ge_spmm,0.00010704832772413889
2048,1.0,torch_matmul,0.0021219427386919656
2048,1.0,torch_spmm,0.14428754933178425
2048,1.0,ge_spmm,0.04516697249685724
2048,0.5,torch_matmul,0.001632626447826624
2048,0.5,torch_spmm,0.08005267223343253
2048,0.5,ge_spmm,0.025675954390317203
2048,0.25,torch_matmul,0.0015889639655749003
2048,0.25,torch_spmm,0.03917099805548787
2048,0.25,ge_spmm,0.007476924763371547
2048,0.125,torch_matmul,0.0017766669392585755
2048,0.125,torch_spmm,0.021945588166515033
2048,0.125,ge_spmm,0.004125410628815492
2048,0.0625,torch_matmul,0.0017764971281091372
2048,0.0625,torch_spmm,0.008929331538577874
2048,0.0625,ge_spmm,0.0019202332633237043
2048,0.03125,torch_matmul,0.002710686872402827
2048,0.03125,torch_spmm,0.006480875052511692
2048,0.03125,ge_spmm,0.0010078732234736283
2048,0.015625,torch_matmul,0.0017429353358844916
2048,0.015625,torch_spmm,0.002754484675824642
2048,0.015625,ge_spmm,0.0011429077324767907
2048,0.0078125,torch_matmul,0.002801447206487258
2048,0.0078125,torch_spmm,0.0024410782071451346
2048,0.0078125,ge_spmm,0.00034425389021635054
2048,0.00390625,torch_matmul,0.00170699463536342
2048,0.00390625,torch_spmm,0.000909886167695125
2048,0.00390625,ge_spmm,0.00014299079775810243
